email_text,label
Reminder: Your appointment is on 7/04/2026.,ham
Congratulations! You have won a $234 prize. Claim now.,spam
Limited time offer! Get 52% off on your purchase. Click here.,spam
Congratulations! You have won a $2312 prize. Claim now.,spam
Congratulations! You have won a $1765 prize. Claim now.,spam
Exclusive deal just for you. Win $702 cash now.,spam
You are selected for a lottery of $4777. Urgent response needed.,spam
Reminder: Your appointment is on 27/04/2026.,ham
Please find attached the report for review.,ham
Team meeting scheduled for 4/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 5/04/2026.,ham
Team meeting scheduled for 26/04/2026. Please attend.,ham
The payment of $1206 has been successfully processed.,ham
Congratulations! You have won a $4078 prize. Claim now.,spam
The payment of $1118 has been successfully processed.,ham
Please find attached the report for review.,ham
Exclusive deal just for you. Win $1697 cash now.,spam
The payment of $216 has been successfully processed.,ham
Limited time offer! Get 57% off on your purchase. Click here.,spam
Exclusive deal just for you. Win $751 cash now.,spam
Exclusive deal just for you. Win $2789 cash now.,spam
Act now! Claim your free reward worth $2299.,spam
Exclusive deal just for you. Win $397 cash now.,spam
The payment of $1863 has been successfully processed.,ham
Team meeting scheduled for 19/04/2026. Please attend.,ham
"Hi, just checking in about the meeting scheduled on 5/04/2026.",ham
Limited time offer! Get 70% off on your purchase. Click here.,spam
Act now! Claim your free reward worth $4481.,spam
Please find attached the report for review.,ham
The payment of $365 has been successfully processed.,ham
Limited time offer! Get 36% off on your purchase. Click here.,spam
"Hi, just checking in about the meeting scheduled on 6/04/2026.",ham
Act now! Claim your free reward worth $3233.,spam
You are selected for a lottery of $2322. Urgent response needed.,spam
Reminder: Your appointment is on 19/04/2026.,ham
Please find attached the report for review.,ham
You are selected for a lottery of $3798. Urgent response needed.,spam
Act now! Claim your free reward worth $649.,spam
Congratulations! You have won a $4161 prize. Claim now.,spam
Reminder: Your appointment is on 10/04/2026.,ham
Reminder: Your appointment is on 4/04/2026.,ham
Please find attached the report for review.,ham
Reminder: Your appointment is on 26/04/2026.,ham
"Hi, just checking in about the meeting scheduled on 26/04/2026.",ham
Act now! Claim your free reward worth $3474.,spam
Reminder: Your appointment is on 22/04/2026.,ham
Limited time offer! Get 13% off on your purchase. Click here.,spam
Reminder: Your appointment is on 21/04/2026.,ham
"Hi, just checking in about the meeting scheduled on 22/04/2026.",ham
You are selected for a lottery of $4667. Urgent response needed.,spam
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
Limited time offer! Get 62% off on your purchase. Click here.,spam
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
Act now! Claim your free reward worth $1340.,spam
Project update: please review the latest changes.,ham
Congratulations! You have won a $1210 prize. Claim now.,spam
The payment of $1566 has been successfully processed.,ham
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 24/04/2026.",ham
Congratulations! You have won a $1054 prize. Claim now.,spam
The payment of $1969 has been successfully processed.,ham
Congratulations! You have won a $2312 prize. Claim now.,spam
Let's catch up over dinner this weekend.,ham
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $1513 cash now.,spam
Act now! Claim your free reward worth $3218.,spam
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $4216 cash now.,spam
"Hi, just checking in about the meeting scheduled on 6/04/2026.",ham
Team meeting scheduled for 10/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
The payment of $838 has been successfully processed.,ham
Team meeting scheduled for 16/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $1133 cash now.,spam
Exclusive deal just for you. Win $3491 cash now.,spam
Please find attached the report for review.,ham
Congratulations! You have won a $3228 prize. Claim now.,spam
The payment of $641 has been successfully processed.,ham
"Hi, just checking in about the meeting scheduled on 15/04/2026.",ham
You are selected for a lottery of $3064. Urgent response needed.,spam
Team meeting scheduled for 14/04/2026. Please attend.,ham
Act now! Claim your free reward worth $3850.,spam
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $4671 cash now.,spam
Exclusive deal just for you. Win $4596 cash now.,spam
Team meeting scheduled for 10/04/2026. Please attend.,ham
Project update: please review the latest changes.,ham
Congratulations! You have won a $1324 prize. Claim now.,spam
Project update: please review the latest changes.,ham
You are selected for a lottery of $2791. Urgent response needed.,spam
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $503 cash now.,spam
You are selected for a lottery of $4179. Urgent response needed.,spam
Project update: please review the latest changes.,ham
Reminder: Your appointment is on 18/04/2026.,ham
Reminder: Your appointment is on 14/04/2026.,ham
Reminder: Your appointment is on 7/04/2026.,ham
Act now! Claim your free reward worth $1208.,spam
Team meeting scheduled for 10/04/2026. Please attend.,ham
Project update: please review the latest changes.,ham
Project update: please review the latest changes.,ham
Limited time offer! Get 61% off on your purchase. Click here.,spam
You are selected for a lottery of $3434. Urgent response needed.,spam
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 3/04/2026.",ham
The payment of $844 has been successfully processed.,ham
The payment of $168 has been successfully processed.,ham
Please find attached the report for review.,ham
Please find attached the report for review.,ham
Please find attached the report for review.,ham
Reminder: Your appointment is on 3/04/2026.,ham
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $240 cash now.,spam
Let's catch up over dinner this weekend.,ham
"Hi, just checking in about the meeting scheduled on 20/04/2026.",ham
Reminder: Your appointment is on 12/04/2026.,ham
Let's catch up over dinner this weekend.,ham
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 1/04/2026.,ham
